,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
49,1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,,,,3080255.0,3080255.0,104497.0
50,1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,,,,191660.0,191660.0,24270.0
51,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,51.0,51.0
52,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,92049.0,91998.0,202.0
53,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,1350049.0,1687561.0,0.0
54,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,92049.0,115061.0,344.0
55,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
56,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
57,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
58,1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
67,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,2022-05-16,2022-09-16,2022-08-02,53927.0,79317.0,79317.0
68,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,2022-08-08,2023-02-13,2023-05-08,259893.0,205673.0,188727.0
69,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,,,,5005043.0,5005043.0,590322.0
70,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,,,,450541.0,450541.0,94567.0
71,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,2024-03-14,2024-07-30,2024-11-18,38009.0,70196.0,69791.0
72,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,In-Progress,2025-01-07,2025-06-09,,179955.0,179955.0,5850.0
73,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,,,,3720987.0,3720987.0,11532.0
74,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,,,,344277.0,344277.0,14967.0
75,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Scope,In-Progress,2025-01-03,2025-04-07,,647.0,647.0,97.0
76,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Design,PNS,,,,2589.0,2589.0,389.0
77,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Construction,PNS,,,,37216.0,37216.0,0.0
78,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,"CM,F&E",PNS,,,,9547.0,9547.0,1142.0
79,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Scope,Complete,2024-03-14,2024-07-30,2024-11-18,24247.0,24247.0,24247.0
80,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Design,Complete,2025-01-07,2025-06-09,2025-02-25,74831.0,74831.0,1816.0
81,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Construction,PNS,,,,1065.0,1065.0,0.0
82,1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,,,,4176.0,4176.0,4176.0
92,1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,2019-04-09,2019-08-22,2019-09-20,22622.0,12165.0,12165.0
93,1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,2019-10-23,2020-03-27,2020-06-08,113110.0,147107.0,118774.0
94,1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,2021-10-18,2023-04-10,,2544967.0,2376098.0,2025581.0
95,1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,2021-10-18,2023-04-10,,158354.0,669306.0,589808.0
96,1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,2024-05-14,2024-09-30,2024-10-31,96886.0,212227.0,173316.0
97,1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,In-Progress,2024-11-15,2025-04-21,,452136.0,452136.0,24365.0
98,1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,7169580.0,7169580.0,43729.0
99,1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,710499.0,710499.0,38958.0
100,1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-07-07,2022-11-04,2022-07-27,3838.0,2363.0,2363.0
101,1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-07-27,2023-01-25,2022-09-21,17271.0,9450.0,9450.0
102,1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-06-05,2024-04-29,,222607.0,204544.0,177952.0
103,1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-06-05,2024-04-29,,117815.0,108130.0,76322.0
117,1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2019-06-20,2019-11-05,2019-12-23,111561.0,221438.0,217375.0
118,1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2020-01-08,2020-06-09,2020-06-30,551747.0,758490.0,697684.0
119,1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2021-05-24,2023-05-23,,11889967.0,11860677.0,10539908.0
120,1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2021-05-24,2023-05-23,,826395.0,1508622.0,1499195.0
121,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,2019-12-02,2020-03-04,2020-02-11,0.0,28094.0,28094.0
122,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,2020-02-11,2020-06-25,2024-01-02,74829.0,141547.0,101932.0
123,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,1097491.0,1097491.0,24575.0
124,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,74829.0,74829.0,26300.0
125,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,2020-03-18,2020-06-17,2020-12-04,0.0,18840.0,18840.0
126,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,2020-12-04,2021-05-24,2024-01-02,2354.0,22197.0,15280.0
127,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,,,,34522.0,34522.0,0.0
128,1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,2354.0,2648.0,2648.0
132,1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2021-01-07,2021-05-07,2021-06-15,39541.0,52686.0,52647.0
133,1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Design,Complete,2021-07-15,2021-12-16,2022-04-21,186049.0,153236.0,127900.0
134,1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2024-01-15,2026-01-03,,3178051.0,2811396.0,369417.0
135,1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2024-01-15,2026-01-03,,364189.0,74185.0,74185.0
145,1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Scope,Complete,2021-08-04,2021-12-21,2022-02-02,75912.0,195932.0,177643.0
146,1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Design,Complete,2022-06-01,2022-11-22,2023-05-12,369667.0,313370.0,290581.0
147,1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Construction,PNS,,,,7461767.0,7461767.0,280165.0
148,1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,,,,605580.0,605580.0,27296.0
149,1,M110,P.S. 110 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,In-Progress,2025-03-13,2025-07-14,,4854.0,4854.0,0.0
150,1,M110,P.S. 110 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,PNS,,,,19417.0,19417.0,0.0
151,1,M110,P.S. 110 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,279126.0,279126.0,0.0
152,1,M110,P.S. 110 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,71602.0,71602.0,0.0
163,1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,2018-10-23,2019-03-13,2019-01-18,371325.0,171363.0,171363.0
164,1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,2019-01-22,2019-06-21,2019-05-17,1485298.0,826695.0,771898.0
165,1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,2019-10-21,2022-08-15,,27849324.0,27259819.0,23951384.0
166,1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2019-10-21,2022-08-15,,1732847.0,895284.0,847034.0
167,1,M134,P.S. 134 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,In-Progress,2025-03-12,2025-07-11,,5502.0,5502.0,0.0
168,1,M134,P.S. 134 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,PNS,,,,22006.0,22006.0,0.0
169,1,M134,P.S. 134 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,316343.0,316343.0,0.0
170,1,M134,P.S. 134 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,81149.0,81149.0,99.0
176,1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Scope,Complete,2018-01-24,2021-01-20,2021-05-19,15710.0,29857.0,29857.0
177,1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Design,Complete,2021-07-07,2021-12-10,2022-03-03,62520.0,104769.0,75991.0
178,1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Construction,In-Progress,2023-05-17,2024-05-15,,723155.0,735042.0,621401.0
179,1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,"CM,F&E",In-Progress,2023-05-17,2024-05-15,,151715.0,132198.0,123991.0
180,1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-07-11,2022-11-08,2022-07-28,5326.0,2660.0,2660.0
181,1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-07-28,2023-01-26,2022-09-21,23966.0,10640.0,10640.0
182,1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-06-05,2024-04-29,,308893.0,280585.0,252752.0
183,1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-06-05,2024-04-29,,165385.0,143787.0,111979.0
188,1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2018-10-24,2019-03-14,2019-01-18,504775.0,554752.0,516616.0
189,1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2019-01-22,2019-06-21,2022-09-16,2518835.0,2388275.0,1949131.0
190,1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,2023-06-05,2026-06-03,,56237200.0,51048647.0,8046535.0
191,1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,2023-06-05,2026-06-03,,3571289.0,1369235.0,1356959.0
192,1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-07-06,2022-11-03,2022-07-22,4336.0,4223.0,4223.0
193,1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-07-22,2023-01-20,2022-09-21,19513.0,17729.0,17729.0
194,1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-06-05,2024-04-29,,251500.0,237972.0,215181.0
195,1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-06-05,2024-04-29,,149910.0,142523.0,110715.0
197,1,M140,P.S. 140 - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,In-Progress,2025-02-13,,,73000.0,73000.0,0.0
199,1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2020-05-22,2020-11-19,2020-08-19,86400.0,155407.0,155407.0
200,1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2020-09-01,2021-06-15,2021-04-06,432000.0,375245.0,361393.0
201,1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2021-09-13,2023-06-04,,9720000.0,10011471.0,7739939.0
202,1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2021-09-13,2023-06-04,,604800.0,592432.0,574920.0
210,1,M188,P.S. 188 - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,88000.0,88000.0,0.0
218,1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Scope,Complete,2023-06-22,2023-11-07,2024-03-26,177436.0,232461.0,207176.0
219,1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Design,In-Progress,2024-04-17,2024-09-18,,811871.0,811871.0,198760.0
220,1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Construction,PNS,,,,12730201.0,12730201.0,103394.0
221,1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,"CM,F&E",PNS,,,,1481032.0,1481032.0,58270.0
238,2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Scope,Complete,2018-10-12,2019-03-04,2019-01-03,373649.0,159120.0,159120.0
239,2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Design,Complete,2019-01-03,2019-06-05,2019-05-14,1494600.0,1170611.0,986818.0
240,2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Construction,In-Progress,2019-10-09,2021-10-07,,28023750.0,34243508.0,29320331.0
241,2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,"CM,F&E",In-Progress,2019-10-09,2021-10-07,,1743699.0,2488989.0,2333330.0
242,2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-01-22,2024-05-20,2024-01-22,4537.0,1923.0,1923.0
243,2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-03-21,2024-09-16,2024-08-13,20414.0,7693.0,7693.0
244,2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2025-01-29,2026-01-28,,263117.0,245855.0,0.0
245,2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2025-01-29,2026-01-28,,52507.0,35984.0,7747.0
248,2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Scope,Complete,2019-02-14,2019-06-17,2019-10-29,113406.0,3258.0,3258.0
